prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Meadow Park 2,2001,1100,Old Klang Road,Condominium,3,1,2,932,Partially Furnished,"Tennis Court, Squash Court, Barbeque area, Security, Playground, Swimming Pool, Gymnasium, Parking, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur
Pangsapuri Berembang Indah,,1100,Ampang,Apartment,3,1,2,650,Not Furnished,"Parking, Playground, Security, Lift, Swimming Pool, Gymnasium",,Kuala Lumpur
Sri Rakyat Apartment,,1100,Bukit Jalil,Apartment,3,,1,900,Partially Furnished,"Minimart, Parking, Lift, Security","Washing Machine, Cooking Allowed",Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,"Gymnasium, Jogging Track, Minimart, Tennis Court, Squash Court, Lift, Security, Swimming Pool, Parking, Playground, Multipurpose hall",Cooking Allowed,Kuala Lumpur
Bayu Andaman,,1100,Sentul,Apartment,3,,2,1000,Fully Furnished,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",,Kuala Lumpur
Villa Mewah,,1100,Sri Petaling,Apartment,3,1,2,800,Partially Furnished,"Security, Parking, Lift",,Kuala Lumpur
Kasturi Apartment (Bdr Tasik Permaisuri),,1100,Cheras,Apartment,3,,2,650,Partially Furnished,"Security, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Tiara Hatamas,,1100,Cheras,Condominium,3,1,2,932,Partially Furnished,"Security, Playground, Jogging Track, Barbeque area, Swimming Pool, Lift, Parking","Air-Cond, Cooking Allowed",Kuala Lumpur
Sri Penara,,1100,Cheras,Apartment,3,,2,650,Fully Furnished,"Playground, Parking, Minimart",,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
,,1100,Sungai Besi,Condominium,3,1,2,888,Partially Furnished,"Security, Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Playground",,Kuala Lumpur
Perdana Puri,,1100,Kepong,Condominium,3,1,2,904,Partially Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur
Residence 8,2013,1100,Old Klang Road,Service Residence,1,,1,350,Fully Furnished,"Playground, Swimming Pool, Barbeque area, Multipurpose hall, Security, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,,2,800,Partially Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur
Pandan Jaya Apartment,,1100,Pandan Jaya,Apartment,3,,1,820,Partially Furnished,Parking,"Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Perdana Villa Deluxe,,1100,Cheras,Apartment,3,1,2,806,Partially Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur
The Annex @ Medan Connaught,2019,1100,Cheras,Service Residence,2,9,1,595,Partially Furnished,"Gymnasium, Security, Swimming Pool, Playground, Parking",,Kuala Lumpur
D'Alamanda,2014,1100,Cheras,Condominium,2,,1,695,Fully Furnished,"Minimart, Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Parking, Squash Court, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Bukit OUG Condominium,,1100,Bukit Jalil,Condominium,2,1,1,750,Partially Furnished,"Swimming Pool, Gymnasium, Security, Minimart, Playground, Parking, Tennis Court, Squash Court, Jogging Track, Lift, Sauna, Barbeque area, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet, Washing Machine",Kuala Lumpur
Permai Ria (Jalan Ipoh),1998,1100,Jalan Ipoh,Condominium,3,1,2,860,Not Furnished,,,Kuala Lumpur
Tiara Hatamas,,1100,Cheras,Condominium,3,2,2,932,Not Furnished,"Playground, Jogging Track, Security, Swimming Pool, Barbeque area, Lift, Parking","Cooking Allowed, Air-Cond",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,"Gymnasium, Lift, Parking, Swimming Pool, Jogging Track, Security, Playground, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,"Gymnasium, Lift, Parking, Swimming Pool, Jogging Track, Security, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,"Parking, Security, Lift, Barbeque area","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,,2,962,Not Furnished,"Playground, Gymnasium, Squash Court, Minimart, Swimming Pool, Tennis Court, Jogging Track, Parking, Security, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,,1100,KL City,Apartment,3,1,2,805,Partially Furnished,"Gymnasium, Playground, Squash Court, Security, Minimart, Jogging Track, Lift, Parking, Swimming Pool","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Cendana Apartment,2008,1100,Cheras,Apartment,3,,1,616,Not Furnished,"Security, Playground, Minimart, Parking, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Avelon Tower,,1100,Kepong,Service Residence,4,1,2,916,Partially Furnished,"Swimming Pool, Gymnasium, Security, Minimart, Parking, Playground, Jogging Track, Lift, Multipurpose hall, Barbeque area",Cooking Allowed,Kuala Lumpur
Prima Saujana,,1100,Kepong,Apartment,3,1,2,1000,Partially Furnished,"Parking, Security, Gymnasium, Playground","Air-Cond, Cooking Allowed",Kuala Lumpur
Pangsapuri Sri Penara,,1100,Cheras,Flat,3,,2,650,Fully Furnished,"Parking, Security, Jogging Track, Minimart, Swimming Pool",Near KTM/LRT,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Central Residence @ Sg Besi,2015,1100,Sungai Besi,Service Residence,2,,1,565,Partially Furnished,"Gymnasium, Multipurpose hall, Playground, Swimming Pool, Security, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Casa Magna,,1100,Kepong,Apartment,3,1,2,1010,Not Furnished,"Security, Barbeque area, Parking, Swimming Pool, Playground",Cooking Allowed,Kuala Lumpur
Platinum Lake PV 21,,1100,Setapak,Service Residence,2,1,2,900,Not Furnished,,,Kuala Lumpur
Residensi Sentulmas,2018,1100,Sentul,Apartment,3,,2,900,Partially Furnished,"Parking, Gymnasium, Minimart, Swimming Pool, Playground, Squash Court, Lift",,Kuala Lumpur
Panorama Residences (Sentul),2014,1100,Sentul,Condominium,3,,2,1092,Partially Furnished,"Multipurpose hall, Playground, Swimming Pool, Jogging Track, Security, Minimart, Gymnasium, Tennis Court",,Kuala Lumpur
Casa Magna,,1100,Kepong,Apartment,3,1,2,950,Partially Furnished,"Security, Parking, Playground, Barbeque area, Swimming Pool, Lift, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,"Security, Swimming Pool, Squash Court, Jogging Track, Lift, Playground, Gymnasium, Tennis Court, Parking, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Prisma Cheras,,1100,Cheras,Condominium,1,1,1,717,Partially Furnished,"Swimming Pool, Squash Court, Parking, Barbeque area, Playground, Sauna, Tennis Court, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Puncak Banyan,2007,1100,Cheras,Condominium,3,,2,810,Partially Furnished,"Parking, Minimart, Security, Swimming Pool","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
,,1100,Cheras,Apartment,3,,2,625,Partially Furnished,,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Desa Tun Razak,,1100,Cheras,Apartment,2,,1,657,Partially Furnished,"Swimming Pool, Security, Parking, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Sri Tioman II,,1100,Setapak,Apartment,2,,2,581,Not Furnished,"Security, Playground, Parking, Lift, Minimart",,Kuala Lumpur
Platinum OUG Residence,2021,1100,Kuchai Lama,Condominium,3,,2,1000,Partially Furnished,"Security, Playground, Gymnasium, Lift",Near KTM/LRT,Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,"Playground, Swimming Pool, Lift, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,"Playground, Swimming Pool, Lift, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,"Playground, Swimming Pool, Lift, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,"Playground, Swimming Pool, Lift, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Pandanmas 2,,1100,Desa Pandan,Apartment,3,1,2,900,Not Furnished,"Swimming Pool, Gymnasium, Jogging Track, Security, Parking, Playground, Minimart","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Villa Mewah,,1100,Sri Petaling,Apartment,3,1,2,800,Partially Furnished,"Security, Parking, Lift",,Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Partially Furnished,"Parking, Gymnasium, Lift, Playground, Squash Court, Security, Minimart, Swimming Pool, Tennis Court, Jogging Track",Cooking Allowed,Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,"Security, Minimart, Parking, Swimming Pool, Gymnasium, Jogging Track, Tennis Court, Squash Court, Playground, Lift, Multipurpose hall",Cooking Allowed,Kuala Lumpur
Abadi Indah,,1100,Taman Desa,Condominium,3,1,2,850,Partially Furnished,"Parking, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Dahlia Apartment (Ampang),,1100,Ampang,Apartment,3,1,2,782,Not Furnished,"Parking, Security, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Bukit Pandan 2,,1100,Cheras,Condominium,3,1,2,1150,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sri Pelangi (Jalan Genting Kelang),2003,1100,Setapak,Condominium,3,,2,911,Partially Furnished,,,Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),,1100,Cheras,Apartment,3,,2,935,Partially Furnished,,,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
De Tropicana,,1100,Kuchai Lama,Condominium,3,1,2,968,Partially Furnished,"Gymnasium, Barbeque area, Parking, Minimart, Squash Court, Security, Swimming Pool, Playground, Tennis Court, Sauna, Lift","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
Residensi Razakmas,,1100,Cheras,Apartment,3,,2,800,Not Furnished,"Parking, Security, Barbeque area, Jogging Track, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Prisma Perdana,,1100,Cheras,Condominium,3,,2,817,Partially Furnished,"Playground, Swimming Pool, Parking, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Suria Kipark Damansara,2009,1100,Kepong,Apartment,3,1,2,945,Partially Furnished,"Security, Swimming Pool, Playground, Minimart",,Kuala Lumpur
Ixora Apartment (Kepong),,1100,Kepong,Apartment,3,1,2,970,Partially Furnished,"Parking, Security, Swimming Pool, Sauna, Playground, Lift, Minimart, Jogging Track","Air-Cond, Cooking Allowed",Kuala Lumpur
Kenari Court,,1100,Ampang,Apartment,3,1,2,850,Not Furnished,"Security, Parking, Playground",Near KTM/LRT,Kuala Lumpur
Winner Court B,,1100,Desa Petaling,Condominium,3,1,2,1050,Fully Furnished,"Tennis Court, Jogging Track, Security, Playground, Gymnasium, Minimart, Swimming Pool, Barbeque area",,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Sri Jinjang Apartment (Pangsapuri Sri Jinjang),,1100,KL City,Apartment,3,1,2,990,Partially Furnished,"Parking, Minimart, Security, Playground, Lift, Swimming Pool",,Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,,1100,KL City,Apartment,3,,2,809,Partially Furnished,"Minimart, Swimming Pool, Squash Court, Security, Gymnasium, Lift, Parking, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Bayview Court Apartment,,1100,Old Klang Road,Apartment,3,1,2,750,Partially Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,800,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur
Danau Murni,2005,1100,Taman Desa,Condominium,3,1,2,750,Not Furnished,"Security, Minimart, Barbeque area, Parking, Playground, Swimming Pool",,Kuala Lumpur
Flat Pandan Jaya,,1100,Pandan Jaya,Flat,3,1,1,650,Partially Furnished,"Parking, Playground, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Avenue Court,1993,1100,Old Klang Road,Apartment,3,1,2,960,Partially Furnished,"Jogging Track, Parking, Minimart, Security, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Bandar Baru Sentul Flat,,1100,Sentul,Flat,2,,1,520,Not Furnished,,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Central Residence @ Sg Besi,2015,1100,Sungai Besi,Apartment,2,2,2,565,Partially Furnished,"Sauna, Playground, Barbeque area, Swimming Pool, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Bayu Andaman,,1100,Sentul,Apartment,3,,2,1000,Fully Furnished,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",,Kuala Lumpur
Baiduri Apartment (Desa Pandan),,1100,Desa Pandan,Apartment,3,,2,800,Not Furnished,"Parking, Security",,Kuala Lumpur
Ketumbar Heights,2010,1100,Cheras,Condominium,3,1,2,755,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Desa Tun Razak,,1100,Cheras,Apartment,2,,1,657,Partially Furnished,"Parking, Security, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Residence 8,2013,1100,Old Klang Road,Others,1,,1,300,Fully Furnished,"Sauna, Barbeque area, Playground, Swimming Pool, Gymnasium, Security, Multipurpose hall","Air-Cond, Washing Machine",Kuala Lumpur
Danau Murni,2005,1100,Taman Desa,Condominium,3,1,2,900,Partially Furnished,"Playground, Swimming Pool, Security, Parking, Barbeque area, Minimart",,Kuala Lumpur
Casa Green (Bukit Jalil),,1100,Bukit Jalil,Condominium,3,,2,850,Not Furnished,"Parking, Gymnasium, Security, Lift, Barbeque area, Swimming Pool, Playground, Minimart, Multipurpose hall, Jogging Track, Club house, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Pangsapuri Cemara (Cheras),2002,1100,Cheras,Apartment,3,,2,730,Not Furnished,"Parking, Swimming Pool, Security, Minimart",,Kuala Lumpur
Desa Tun Razak,,1100,Cheras,Apartment,2,1,1,657,Partially Furnished,"Lift, Parking, Security, Playground","Air-Cond, Cooking Allowed",Kuala Lumpur
Idaman Sutera,,1100,Setapak,Condominium,3,1,2,850,Partially Furnished,"Parking, Security, Swimming Pool, Gymnasium, Playground, Barbeque area, Minimart, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Taman Cahaya shoplot flat,,1100,Ampang,Flat,2,,1,612,Partially Furnished,,"Air-Cond, Near KTM/LRT",Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,1,2,850,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sentul Utama Condominium,2009,1100,Sentul,Condominium,3,1,2,877,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Barbeque area, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,1,2,800,Partially Furnished,"Security, Multipurpose hall, Minimart, Parking",,Kuala Lumpur
Avenue Court,1993,1100,Old Klang Road,Apartment,3,1,2,990,Partially Furnished,"Parking, Playground, Gymnasium, Minimart, Swimming Pool, Jogging Track, Security",,Kuala Lumpur
Apartment Desa Tasik Fasa 6B,,1100,Sri Petaling,Apartment,3,,2,800,Fully Furnished,,,Kuala Lumpur
Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,2018,1100,Bukit Jalil,Apartment,3,1,2,1000,Partially Furnished,"Jogging Track, Security, Minimart, Swimming Pool, Parking",,Kuala Lumpur
Pangsapuri Desa Tenaga,,1100,Old Klang Road,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Lift",,Kuala Lumpur
Impiana Sky Residensi,2021,1100,Bukit Jalil,Apartment,3,1,2,850,Partially Furnished,"Multipurpose hall, Parking, Security, Playground, Gymnasium",Cooking Allowed,Kuala Lumpur
Bandar Sri Penara,,1100,Cheras,Apartment,2,,2,650,Fully Furnished,"Security, Lift, Playground, Minimart, Parking","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Villa Mewah,,1100,Sri Petaling,Apartment,3,1,2,797,Partially Furnished,"Security, Parking, Lift",,Kuala Lumpur
,,1100,Cheras,Apartment,3,,2,995,Partially Furnished,,,Kuala Lumpur
The Annex @ Medan Connaught,2019,1100,Cheras,Service Residence,2,1,1,595,Not Furnished,"Security, Swimming Pool, Playground, Gymnasium, Parking",,Kuala Lumpur
Bayu Andaman,,1100,Sentul,Apartment,3,,2,1000,Fully Furnished,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",,Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,1,2,850,Partially Furnished,"Security, Parking, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Laman Midah,,1100,Cheras,Condominium,3,1,2,800,Not Furnished,"Lift, Security, Parking, Swimming Pool, Playground, Minimart",,Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Partially Furnished,"Minimart, Tennis Court, Parking, Security, Swimming Pool, Squash Court, Lift, Playground, Gymnasium, Jogging Track",,Kuala Lumpur
Bukit OUG Condominium,,1100,Bukit Jalil,Condominium,2,1,1,680,Fully Furnished,"Gymnasium, Tennis Court, Squash Court, Minimart, Swimming Pool, Security, Jogging Track, Playground, Parking","Air-Cond, Near KTM/LRT, Cooking Allowed, Washing Machine",Kuala Lumpur
